,映画（作品名）,年,月,日,公開日
0,シン・エヴァンゲリオン劇場版,2021,4,1,20210401
1,映画モンスターハンター,2021,4,1,20210401
2,トムとジェリー,2021,4,1,20210401
3,鬼滅の刃 無限列車編,2021,4,1,20210401
4,奥様は、取り扱い注意,2021,4,1,20210401
5,騙し絵の牙,2021,4,1,20210401
6,花束みたいな恋をした,2021,4,1,20210401
7,ブレイブ－群青戦記－,2021,4,1,20210401
8,映画ヒーリングっど・プリキュア ゆめのまちでキュン！っとＧｏＧｏ！大変身！！,2021,4,1,20210401
9,ノマドランド,2021,4,1,20210401
10,ライアー×ライアー,2021,4,1,20210401
11,ガールズ＆パンツァー 最終章 第３話,2021,4,1,20210401
12,ラーヤと龍の王国,2021,4,1,20210401
13,ミナリ,2021,4,1,20210401
14,名探偵コナン 緋色の不在証明,2021,4,1,20210401
15,まともじゃないのは君も一緒,2021,4,1,20210401
16,ゼロワン Ｏｔｈｅｒｓ 仮面ライダー滅亡迅雷,2021,4,1,20210401
17,太陽は動かない,2021,4,1,20210401
18,ミッドナイトスワン,2021,4,1,20210401
19,映画しまじろう しまじろうと そらとぶふね,2021,4,1,20210401
20,劇場版 Ｆａｔｅ／ｓｔａｙ ｎｉｇｈｔ Ｈｅａｖｅｎｓ Ｆｅｅｌ 第三章 ＜ビデオマスター版＞,2021,4,1,20210401
21,オペラトーク・シアター,2021,4,1,20210401
22,,2021,4,1,20210401
23,映画 えんとつ町のプペル,2021,4,1,20210401
24,劇場版 ファイナルファンタジーＸＩＶ 光のお父さん,2021,4,1,20210401
25,ホムンクルス,2021,4,2,20210402
26,あんさんぶるスターズ！！ ＥＳ Ｍｕｓｉｃ Ｇａｒｄｅｎ Ｄｅｌａｙ Ｖｉｅｗｉｎｇ,2021,4,3,20210403
27,るろうに剣心,2021,4,3,20210403
28,るろうに剣心 伝説の最期編,2021,4,3,20210403
29,天外者,2021,4,5,20210405
30,森の学校,2021,4,5,20210405
31,時をかける少女,2021,4,6,20210406
32,サンドラの小さな家,2021,4,7,20210407
33,劇場版シグナル 長期未解決事件捜査班,2021,4,9,20210409
34,るろうに剣心 京都大火編,2021,4,9,20210409
35,ザ・スイッチ,2021,4,9,20210409
36,バイプレイヤーズ もしも１００人の名脇役が映画を作ったら,2021,4,9,20210409
37,パームスプリングス,2021,4,9,20210409
38,ザ・バッド・ガイズ,2021,4,9,20210409
39,ＢＬＵＥ／ブルー,2021,4,9,20210409
40,二ノ国,2021,4,9,20210409
41,宝塚歌劇 雪組東京宝塚劇場公演「壬生義士伝」「Ｍｕｓｉｃ Ｒｅｖｏｌｕｔｉｏｎ！」千秋楽 ライブ中継,2021,4,11,20210411
42,砕け散るところを見せてあげる,2021,4,11,20210411
43,映画 きかんしゃトーマス チャオ！とんでうたってディスカバリー！！,2021,4,11,20210411
44,アンモナイトの目覚め,2021,4,12,20210412
45,２１ブリッジ,2021,4,14,20210414
46,爆笑問題ｗｉｔｈタイタンシネマライブ♯７０,2021,4,16,20210416
47,ガメラ３ 邪神＜イリス＞覚醒＜４Ｋデジタル復元版＞,2021,4,16,20210416
48,名探偵コナン 緋色の弾丸,2021,4,17,20210417
49,ＡＶＡ／エヴァ,2021,4,17,20210417
50,ＪＵＮＫ ＨＥＡＤ,2021,4,21,20210421
