,公開年,映画（作品名）,配給
0,2017,未成年だけどコドモじゃない,東宝
1,2017,映画 妖怪ウォッチ シャドウサイド 鬼王の復活,東宝
2,2017,DESTINY 鎌倉ものがたり,東宝
3,2017,劇場版総集編アニメ『刀剣乱舞-花丸-』～幕間回想録～,東宝
4,2017,火花,東宝
5,2017,GODZILLA 怪獣惑星,東宝
6,2017,ラストレシピ ～麒麟の舌の記憶～,東宝
7,2017,ミックス。,東宝
8,2017,弱虫ペダル Re:GENERATION,東宝
9,2017,ナラタージュ,東宝
10,2017,亜人,東宝
11,2017,劇場版総集編『ハイキュー!! コンセプトの戦い』,東宝
12,2017,映画 あさひなぐ,東宝
13,2017,奥田民生になりたいボーイと出会う男すべて狂わせるガール,東宝
14,2017,劇場版総集編『ハイキュー!! 才能とセンス』,東宝
15,2017,三度目の殺人,東宝
16,2017,関ヶ原,東宝
17,2017,映画くまのがっこう＆ふうせんいぬティニー,東宝
18,2017,打ち上げ花火、下から見るか？横から見るか？,東宝
19,2017,ジョジョの奇妙な冒険　ダイヤモンドは砕けない　第一章,東宝
20,2017,君の膵臓をたべたい,東宝
21,2017,劇場版ポケットモンスター キミにきめた！,東宝
22,2017,メアリと魔女の花,東宝
23,2017,忍びの国,東宝
24,2017,映画 山田孝之3D,東宝
25,2017,昼顔,東宝
26,2017,ちょっと今から仕事やめてくる,東宝
27,2017,夜明け告げるルーのうた,東宝
28,2017,追憶,東宝
29,2017,帝一の國,東宝
30,2017,映画かみさまみならい　ヒミツのここたま　奇跡をおこせ♪テップルとドキドキここたま界　※同時上映：短編『映画たまごっち　ヒミツのおとどけ大作戦！』,東宝
31,2017,3月のライオン【後編】,東宝
32,2017,映画 クレヨンしんちゃん 襲来!! 宇宙人シリリ,東宝
33,2017,名探偵コナン から紅の恋歌（からくれないのらぶれたー）,東宝
34,2017,夜は短し歩けよ乙女,東宝
35,2017,ひるなかの流星,東宝
36,2017,3月のライオン【前編】,東宝
37,2017,チア☆ダン ～女子高生がチアダンスで全米制覇しちゃったホントの話～,東宝
38,2017,しまじろうとにじのオアシス,東宝
39,2017,映画ドラえもん のび太の南極カチコチ大冒険,東宝
40,2017,WE ARE X,東宝
41,2017,MY FIRST STORY DOCUMENTARY FILM ―全心―,東宝
42,2017,サバイバルファミリー,東宝
43,2017,虐殺器官,東宝
44,2017,恋妻家宮本（こいさいかみやもと）,東宝
45,2017,本能寺ホテル,東宝
46,2017,傷物語〈Ⅲ冷血篇〉,東宝
47,2018,ニセコイ,東宝
48,2018,映画 妖怪ウォッチ FOREVER FRIENDS,東宝
49,2018,来る,東宝
50,2018,Burn the Stage : the Movie,東宝
51,2018,GODZILLA 星を喰う者,東宝
52,2018,スマホを落としただけなのに,東宝
53,2018,億男,東宝
54,2018,散り椿,東宝
55,2018,劇場版「フリクリ プログレ」,東宝
56,2018,コーヒーが冷めないうちに,東宝
57,2018,響 -HIBIKI-,東宝
58,2018,累 -かさね-,東宝
59,2018,劇場版「フリクリ オルタナ」,東宝
60,2018,SUNNY 強い気持ち・強い愛,東宝
61,2018,ちいさな英雄―カニとタマゴと透明人間―,東宝
62,2018,検察側の罪人,東宝
63,2018,ペンギン・ハイウェイ,東宝
64,2018,『僕のヒーローアカデミア THE MOVIE～2人の英雄（ヒーロー）～』,東宝
65,2018,センセイ君主,東宝
66,2018,劇場版コード・ブルー -ドクターヘリ緊急救命-,東宝
67,2018,未来のミライ,東宝
68,2018,劇場版ポケットモンスター みんなの物語,東宝
69,2018,羊と鋼の森,東宝
70,2018,OVER DRIVE,東宝
71,2018,恋は雨上がりのように,東宝
72,2018,のみとり侍,東宝
73,2018,GODZILLA 決戦機動増殖都市,東宝
74,2018,ラプラスの魔女,東宝
75,2018,となりの怪物くん,東宝
76,2018,いぬやしき,東宝
77,2018,映画 クレヨンしんちゃん 爆盛！カンフーボーイズ ～拉麺大乱～,東宝
78,2018,名探偵コナン ゼロの執行人（しっこうにん）,東宝
79,2018,Kalafina 10th Anniversary Film ～夢が紡ぐ輝きのハーモニー～,東宝
80,2018,ちはやふる －結び－,東宝
81,2018,坂道のアポロン,東宝
82,2018,映画しまじろう　まほうのしまのだいぼうけん,東宝
83,2018,映画ドラえもん のび太の宝島,東宝
84,2018,空海 -KU-KAI-　美しき王妃の謎,東宝
85,2018,祈りの幕が下りる時,東宝
86,2018,嘘を愛する女,東宝
87,2019,"劇場版『新幹線変形ロボ シンカリオン
未来からきた神速のＡＬＦＡ-Ｘ』",東宝
88,2019,僕のヒーローアカデミア THE MOVIE　ヒーローズ：ライジング,東宝
89,2019,屍人荘の殺人,東宝
90,2019,映画 妖怪学園Ｙ 猫はHEROになれるか,東宝
91,2019,ルパン三世 THE FIRST,東宝
92,2019,マチネの終わりに,東宝
93,2019,キミだけにモテたいんだ,東宝
94,2019,空の青さを知る人よ,東宝
95,2019,蜜蜂と遠雷,東宝
96,2019,HELLO WORLD,東宝
97,2019,記憶にございません！,東宝
98,2019,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,東宝
99,2019,劇場版おっさんずラブ ～LOVE or DEAD～,東宝
100,2019,BRING THE SOUL: THE MOVIE,東宝
101,2019,ドラゴンクエスト　ユア・ストーリー,東宝
102,2019,アルキメデスの大戦,東宝
103,2019,天気の子,東宝
104,2019,ミュウツーの逆襲 EVOLUTION,東宝
105,2019,いつのまにか、ここにいる Documentary of 乃木坂46,東宝
106,2019,きみと、波にのれたら,東宝
107,2019,ゴジラ　キング・オブ・モンスターズ,東宝
108,2019,プロメア,東宝
109,2019,コンフィデンスマンJP,東宝
110,2019,名探偵ピカチュウ,東宝
111,2019,映画クレヨンしんちゃん 新婚旅行ハリケーン ～失われたひろし～,東宝
112,2019,キングダム,東宝
113,2019,名探偵コナン 紺青の拳（こんじょうのフィスト）,東宝
114,2019,PRINCE OF LEGEND,東宝
115,2019,君は月夜に光り輝く,東宝
116,2019,映画しまじろう「しまじろうとうるるのヒーローランド」,東宝
117,2019,"PSYCHO-PASS サイコパス Sinners of the System
Case.3 恩讐の彼方に＿＿",東宝
118,2019,映画ドラえもん のび太の月面探査記,東宝
119,2019,フォルトゥナの瞳,東宝
120,2019,"PSYCHO-PASS サイコパス Sinners of the System
Case.2 First Guardian",東宝
121,2019,七つの会議,東宝
122,2019,"PSYCHO-PASS サイコパス Sinners of the System
Case.1 罪と罰",東宝
123,2019,マスカレード・ホテル,東宝
124,2019,「映画刀剣乱舞」,東宝
125,2020,劇場版ポケットモンスター ココ,東宝
126,2020,映画 えんとつ町のプペル,東宝
127,2020,約束のネバーランド,東宝
128,2020,新解釈・三國志,東宝
129,2020,『ヱヴァンゲリヲン新劇場版』シリーズ4D版,東宝
130,2020,STAND BY ME ドラえもん 2,東宝
131,2020,罪の声,東宝
132,2020,オレたち応援屋‼,東宝
133,2020,劇場版「鬼滅の刃」無限列車編,東宝
134,2020,浅田家！,東宝
135,2020,映画『映像研には手を出すな！』,東宝
136,2020,アニメーション映画「思い、思われ、ふり、ふられ」,東宝
137,2020,映画クレヨンしんちゃん 激突！ラクガキングダムとほぼ四人の勇者,東宝
138,2020,『僕たちの嘘と真実 Documentary of 欅坂46』,東宝
139,2020,青くて痛くて脆い,東宝
140,2020,糸,東宝
141,2020,思い、思われ、ふり、ふられ,東宝
142,2020,映画ドラえもん のび太の新恐竜,東宝
143,2020,コンフィデンスマンJP　プリンセス編,東宝
144,2020,今日から俺は!!劇場版,東宝
145,2020,『風の谷のナウシカ』,東宝
146,2020,『もののけ姫』,東宝
147,2020,『千と千尋の神隠し』,東宝
148,2020,『ゲド戦記』,東宝
149,2020,AKIRA デジタルリマスター版,東宝
150,2020,PSYCHO-PASS サイコパス ３ FIRST INSPECTOR,東宝
151,2020,弥生、三月 -君を愛した３０年-,東宝
152,2020,貴族降臨 -PRINCE OF LEGEND-,東宝
153,2020,スマホを落としただけなのに 囚われの殺人鬼,東宝
154,2020,ヲタクに恋は難しい,東宝
155,2020,ラストレター,東宝
156,2020,カイジ ファイナルゲーム,東宝
157,2021,あなたの番です 劇場版,東宝
158,2021,映画ドラえもん のび太の宇宙小戦争　（1985年版リバイバル上映）,東宝
159,2021,土竜の唄 FINAL,東宝
160,2021,劇場版「きのう何食べた？」,東宝
161,2021,映画 えんとつ町のプペル,東宝
162,2021,燃えよ剣,東宝
163,2021,"＜『ルパン三世』アニメ化50周年記念上映 ＞
「『ルパン三世 カリオストロの城』4K+7.1ch」
同時上映「ルパンは今も燃えているか」",東宝
164,2021,マスカレード・ナイト,東宝
165,2021,劇場版 アーヤと魔女,東宝
166,2021,かぐや様は告らせたい ～天才たちの恋愛頭脳戦～ ファイナル,東宝
167,2021,妖怪大戦争 ガーディアンズ,東宝
168,2021,僕のヒーローアカデミア THE MOVIE　ワールド ヒーローズ ミッション,東宝
169,2021,映画クレヨンしんちゃん 謎メキ！花の天カス学園,東宝
170,2021,映画『とびだせ！ならせ！ PUI PUI モルカー』,東宝
171,2021,竜とそばかすの姫,東宝
172,2021,100日間生きたワニ,東宝
173,2021,ゴジラvsコング,東宝
174,2021,夏への扉 ―キミのいる未来へ―,東宝
175,2021,ヒノマルソウル～舞台裏の英雄たち～,東宝
176,2021,キャラクター,東宝
177,2021,名探偵コナン 緋色の弾丸,東宝
178,2021,映画『バイプレイヤーズ～もしも100人の名脇役が映画を作ったら～』,東宝
179,2021,劇場版シグナル 長期未解決事件捜査班,東宝
180,2021,あんさんぶるスターズ！！ES Music Garden - Delay Viewing -,東宝
181,2021,映画 モンスターハンター,東宝
182,2021,奥様は、取り扱い注意,東宝
183,2021,ブレイブ ‐群青戦記‐,東宝
184,2021,映画しまじろう「しまじろうと　そらとぶふね」,東宝
185,2021,シン・エヴァンゲリオン劇場版,東宝
186,2021,GET OVER ーJAM Project THE MOVIEー,東宝
187,2021,名探偵コナン 緋色の不在証明,東宝
188,2021,Endless SHOCK,東宝
189,2021,"『ヱヴァンゲリヲン新劇場版：Ｑ EVANGELION:3.333
YOU CAN (NOT) REDO．』",東宝
190,2021,新世紀エヴァンゲリオン劇場版 DEATH（TRUE）²／Air／まごころを､君に,東宝
191,2022,KAPPEI　カッペイ,東宝
192,2022,映画しまじろう『しまじろうと　キラキラおうこくの　おうじさま』,東宝
193,2022,鹿の王　ユナと約束の旅,東宝
194,2022,『Still Dreamin’―布袋寅泰 情熱と栄光のギタリズム―』,東宝
195,2022,コンフィデンスマンＪＰ　英雄編,東宝
196,2022,特『刀剣乱舞-花丸-』〜雪ノ巻〜,東宝
197,2022,シン・ウルトラマン,東宝
198,2022,劇場版ラジエーションハウス,東宝
199,2022,映画クレヨンしんちゃん もののけニンジャ珍風伝,東宝
200,2022,名探偵コナン ハロウィンの花嫁,東宝
201,2022,映画『おそ松さん』,東宝
202,2022,JO1 THE MOVIE『未完成』–Go to the TOP–,東宝
203,2022,映画ドラえもん のび太の宇宙小戦争 2021,東宝
204,2022,劇場版 呪術廻戦 0,東宝
